,gains,tot_volume,frac_change,rsquared,trend
0,0.0004176332849983311,2089193.0,0.9658675281692368,0.81205070061666,-0.00020659784757949437
1,0.0011191130092804702,557871.0,0.9861954725801004,0.418188700976239,-6.217688417841654e-05
2,0.001059754911766353,340656.0,0.9805784625667079,0.622781501996577,-0.0001898561660257346
3,0.0,2594518.0,0.9134282408689995,0.9088523283505927,-0.00045086875546458666
4,0.0,377866.0,0.984287385853424,0.16260872043574046,-9.113900418647235e-05
5,-0.0012164891820238832,1097385.0,0.9316666920979818,0.760556551397644,-0.0002612296614111489
6,0.004746793062713639,1571520.0,1.0111110623341193,0.5117772818746271,-0.0002916357644026025
7,0.0041589720483512505,213523.0,1.0018493258011725,0.6133652178093987,-0.00010964758970894013
8,0.008163257362146403,1226142.0,0.9839357583534832,0.09942432613604585,-8.898576786235313e-05
9,0.0,1794732.0,0.8128430833014135,0.9095647126477162,-0.001512986977972578
10,0.0,1073001.0,0.7689006342547966,0.9173681113682229,-0.0010838076090877499
11,0.027003521949297005,46339189.0,0.8330301858565208,0.8433702354686803,-0.0008892400946757882
12,0.0,3699696.0,0.928205113993019,0.9137938178622753,-0.000374797684221679
13,0.0,646313.0,0.9373220215418464,0.9291099295738641,-0.0003183213478200299
14,0.0,555841.0,0.9104197136139889,0.905758283140055,-0.0005339682871309334
15,0.0,456060.0,0.9977094339841093,0.40787422750274227,-0.00017081044863544482
16,0.0,1352694.0,0.957113159934335,0.8951916596916265,-0.0003573283975290491
17,-0.004730923975631907,2247099.0,0.981416974007888,0.4694783033657927,-9.843377381980492e-05
18,0.0,9324347.0,0.9194630845635492,0.9344371786937499,-0.0007113725995916021
19,-0.0011014260723948288,8169539.0,0.9815770071397826,0.012659387865858497,-7.614453517264511e-06
20,0.0,375858.0,1.0027434816229313,0.502282998220406,0.00011065800730368923
21,-0.002510001850855925,791955.0,0.986124842298754,0.0107681384483738,-5.230743653222072e-06
22,0.0,2437621.0,0.9200000357120595,0.9302501719989473,-0.0005356015090471036
23,0.011824648285399864,1648916.0,0.923115288719543,0.785472572187658,-0.0004332835018322344
24,0.0006743242706190866,421709.0,0.967266727475413,0.28839396937402617,-8.842797535948636e-05
25,0.0010508959376480664,263366.0,0.9813277698376369,0.844830321258013,-0.0002007214188787029
26,0.0,2041800.0,0.9372861844895374,0.9456041910923297,-0.0005792543903708834
27,0.007880923991823607,854315.0,0.9768240761433247,0.7946485969722776,-0.0002657342353828496
28,0.0017745788178362698,983428.0,0.9641332130720975,0.7264279095029661,-0.00021779787033345002
29,0.013193367973058479,344952.0,0.9977335582789201,0.28801227280705377,-0.00014211630195128187
30,0.0,322831.0,0.979330864094447,0.29636199822830145,-8.847009881304507e-05
31,0.0009242355974019567,593030.0,0.9855333820057874,0.26741411472761284,-7.811135072513802e-05
32,-0.0007591744846321413,1233733.0,0.9810308661529179,0.07105894396046908,-2.4909518054975774e-05
33,0.0,876171.0,0.9599188713914724,0.7811134773000574,-0.00021015676821756503
34,-0.0010460490003029177,689692.0,1.017021362508464,0.3022151501767438,6.088862310302419e-05
35,0.008781550682871675,2226459.0,0.9849130793221739,0.6215804284681077,-0.00026684592793654443
36,0.002334678687042846,645738.0,0.9832347065219347,0.5598266586498346,-5.574142999190459e-05
37,0.0018071400079151534,520013.0,0.9782784650229461,0.9092108747344537,-0.0002384051693864994
38,0.0,791402.0,0.9742063263045896,0.6848651778202566,-0.00023728099546271481
39,-0.0025655686399713717,259696.0,0.9792775725919496,0.3196594172729276,-0.00011147513665415652
40,0.011336547223322668,456886.0,0.9838804438957184,0.28140469228190207,-0.0001633887082660879
41,-0.0009765848735702187,1522941.0,0.9951076135588596,0.40950966701751323,-0.00010568507387027661
42,0.0010740738736887412,1592682.0,1.0091602963408173,1.9165935008070684e-05,-6.245812369734005e-07
43,0.0,899479.0,0.9276438077650854,0.7806576389764647,-0.00041170582033813195
44,0.001949300344506133,1593293.0,0.9691241477850268,0.10140241980694088,-3.275126041814995e-05
45,0.0019959584007660514,5258144.0,0.9713935955992012,0.8461870556216302,-0.00018177010329403437
46,0.0045195715166972406,894230.0,0.9708879457646656,0.89075769135964,-0.0002496892905641604
47,0.011363625074878314,1844079.0,0.9428571963796819,0.7539027545032873,-0.0004857762532275276
48,0.0,1022701.0,0.9404762445393628,0.7792995727844467,-0.0001918923341761307
49,0.0,940175.0,0.9668508592948343,0.6976733104139506,-0.00019607009233259137
50,0.0,254460.0,0.9888217840198982,0.36370223160623655,-0.00010075386851369972
51,0.0,1438581.0,0.9877659812994605,0.6415727292788568,-0.00018584788448023073
52,0.0,959459.0,0.963243921633563,0.5452708703374293,-0.00019511203169542178
53,0.0,441838.0,0.9586632310904312,0.9022633784235131,-0.00024023486839323886
54,0.005429447636172702,463021.0,0.9703632487106935,0.883473082979822,-0.0002966278807941247
55,0.008855323571669294,412012.0,0.9878959258681457,0.37055143635705406,-9.733174848777247e-05
56,0.0,1803847.0,0.9558894869398387,0.799066066909145,-0.00024636662449969906
57,0.002824833643546798,990919.0,0.967418538959628,0.8999206943048227,-0.000261733324807048
58,-0.0004657768608130608,257649.0,0.9681139799075364,0.9354597472739851,-0.00023743234406797776
59,0.0009521004896093643,598059.0,0.9950957512563878,0.5802153316418702,-0.00014589741602514828
60,0.0,600681.0,0.9493670707800029,0.9019817957314032,-0.0004163516787054735
61,-0.009726963925897003,593124.0,1.0202381052397822,0.31544232780092074,-0.00018233337463042235
62,0.0,532505.0,0.9503385823740832,0.9092159265144617,-0.00030284786276485367
